# AD4898 voltage noise
# Hz, nV/sqrt(Hz)
0.9949432883759156, 3.865731628353304
1.9427602035470688, 2.76654194532458
2.528751822143138, 2.3522932884719623
3.1606749371297846, 1.9303482365151785
4.031439527913039, 1.6749258956017883
5.090226647994025, 1.4906053846741596
7.636089007284925, 1.2803236206289141
10.670417636078392, 1.133666766661958
13.472816303041224, 1.0667637376535575
22.826136427330816, 0.9737388273265876
42.36786189544484, 0.916273901188674
72.51267299379086, 0.8798605969778908
138.74843503597535, 0.8622002516881544
502.86696273896285, 0.8665818249575835
1317.5618943893362, 0.8622002516881544
2598.9339620892033, 0.8665818249575835
15958.581124048631, 0.8578408323386003
52261.97540533579, 0.8622002516881544
